la_code,name,type,majority_party,majority_party_id,governing_coalition,conservative_councillors,labour_councillors,lib_dem_councillors,green_councillors,ukip_councillors,plaid_cymru_councillors,snp_councillors,independent_councillors,vacant,total_councillors,boundary,notes,url,last_update
S12000035,Argyll and Bute,Scotland,No Overall Control,noc,Conservative/Liberal Democrat/Independent,9,0,6,0,0,0,11,10,0,36,,"Argyll First 3, Independents 18",https://www.argyll-bute.gov.uk/councillor_list,2017-05-28
S12000036,City of Edinburgh,Scotland,No Overall Control,noc,Unknown,18,12,6,8,0,0,19,0,0,63,,,http://www.edinburgh.gov.uk/councillors/name,2017-05-28
S12000038,Renfrewshire,Scotland,No Overall Control,noc,SNP Minority,8,13,1,0,0,0,19,2,0,43,,,http://renfrewshire.cmis.uk.com/renfrewshire/Councillors.aspx,2017-05-28
S12000039,West Dunbartonshire,Scotland,No Overall Control,noc,SNP/Independent,2,8,0,0,0,0,10,2,0,22,,Brian Walker ok.,http://www.west-dunbarton.gov.uk/council/councillors-and-committees/councillor/councillors-by-name/,2017-05-31
S12000040,West Lothian,Scotland,No Overall Control,noc,Unknown,7,12,0,0,0,0,13,1,0,33,,,https://www.westlothian.gov.uk/article/1956/Councillors-and-Wards,2017-05-28
S12000041,Angus,Scotland,No Overall Control,noc,Conservative/Independent/Liberal Democrat,8,0,2,0,0,0,9,9,0,28,,,http://www.angus.gov.uk/councillors/name,2017-05-28
S12000042,Dundee City,Scotland,No Overall Control,noc,SNP/Independent,3,9,2,0,0,0,14,1,0,29,,,https://www.dundeecity.gov.uk/councillors/cllorsurname/,2017-05-28
S12000044,North Lanarkshire,Scotland,No Overall Control,noc,Labour Minority,10,32,0,0,0,0,33,2,0,77,,"Cumbernauld Independent Councillors Alliance 1, Independents 15",https://mars.northlanarkshire.gov.uk/egenda/public/main.pl?op=ListCurrentMembers,2017-05-28
S12000045,East Dunbartonshire,Scotland,No Overall Control,noc,SNP Minority,6,2,6,0,0,0,7,1,0,22,,,https://www.eastdunbarton.gov.uk/council/committees-councillors/councillors-2017,2017-05-31
S12000046,Glasgow City,Scotland,No Overall Control,noc,SNP Minority,8,31,0,7,0,0,39,0,0,85,,,http://www.glasgow.gov.uk/councillorsandcommittees/allMembers.asp?sort=0&page=0&rec=78,2017-05-31
W06000001,Isle of Anglesey,Wales,No Overall Control,noc,Unknown,0,2,1,0,0,14,0,13,0,30,,"Revolutionist Group 2, Independent Group 10, Independents 2. Aled Jones is Liberal Democrat in Ind Gp.",http://democracy.anglesey.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0&LLL=0,2017-05-31
W06000002,Gwynedd,Wales,Plaid Cymru,22,Plaid Cymru,0,1,1,0,0,41,0,32,0,75,,"Llais Gwynedd 7, Independent Group 21, Independent 1",https://democracy.cyngor.gwynedd.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-28
W06000003,Conwy,Wales,No Overall Control,noc,PC...,16,8,4,0,0,10,0,21,0,59,,"Conwy First 15, Independents 5",http://modgoveng.conwy.gov.uk/mgMemberIndex.aspx?FN=WARD&VW=LIST&PIC=0,2017-05-28
W06000004,Denbighshire,Wales,No Overall Control,noc,Independent...,15,13,0,0,0,9,0,10,0,47,,,https://moderngov.denbighshire.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0&LLL=0,2017-05-28
W06000005,Flintshire,Wales,No Overall Control,noc,Labour Minority,6,34,5,0,0,0,0,25,0,70,,"Independent Alliance 9, New Independets 6, Independents 6",http://cyfarfodyddpwyllgor.siryfflint.gov.uk/mgMemberIndex.aspx?FN=GROUPING&VW=LIST&PIC=0&LLL=1,2017-05-28
W06000006,Wrexham,Wales,No Overall Control,noc,Independent/Labour/Conservative/PC/Liberal Democrat,9,12,2,0,0,3,0,26,0,52,,,http://moderngov.wrexham.gov.uk/mgMemberIndex.aspx?FN=GROUPING&VW=LIST&PIC=0&LLL=undefined,2017-05-28
W06000008,Ceredigion,Wales,No Overall Control,noc,PC/Independent,0,0,8,0,0,20,0,14,0,42,,,https://www.ceredigion.gov.uk/English/Your-Council/Councillors-Committees/Councillors/Pages/default.aspx,2017-05-28
W06000009,Pembrokeshire,Wales,Independent,8,Independent,12,7,1,0,0,6,0,34,0,60,,,http://mgenglish.pembrokeshire.gov.uk/mgMemberIndex.aspx?bcr=1,2017-05-31
W06000010,Carmarthenshire,Wales,No Overall Control,noc,PC/Independent,0,22,0,0,0,36,0,16,0,74,,,http://democracy.carmarthenshire.gov.wales/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-28
W06000011,Swansea,Wales,Labour,15,Labour,9,48,7,0,0,0,0,8,0,72,,,http://democracy.swansea.gov.uk/mgMemberIndex.aspx?bcr=1&LLL=0?Lang=eng,2017-05-28
W06000012,Neath Port Talbot,Wales,Labour,15,Labour,0,43,1,0,0,15,0,5,0,64,,,https://democracy.npt.gov.uk/mgMemberIndex.aspx?VW=TABLE&PIC=1&FN=PARTY,2017-05-28
W06000013,Bridgend,Wales,No Overall Control,noc,Labour Minority,11,26,1,0,0,3,0,13,0,54,,,https://democratic.bridgend.gov.uk/mgMemberIndex.aspx?FN=ALPHA&VW=TABLE&PIC=1,2017-05-28
W06000014,The Vale of Glamorgan,Wales,No Overall Control,noc,Conservative/Independent,23,14,0,0,0,4,0,6,0,47,,,http://www.valeofglamorgan.gov.uk/en/our_council/Council-Structure/councillors/Councillor-Search.aspx,2017-05-28
W06000015,Cardiff,Wales,Labour,15,Labour,20,40,11,0,0,3,0,1,0,75,,,http://cardiff.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-31
W06000016,Rhondda Cynon Taff,Wales,Labour,15,Labour,4,47,1,0,0,18,0,5,0,75,,,http://www.rctcbc.gov.uk/EN/Council/CouncillorsCommitteesandMeetings/Councillors/Councillors.aspx?CouncillorsListing_DisplayMode=Party,2017-05-31
W06000018,Caerphilly,Wales,Labour,15,Labour,0,50,0,0,0,18,0,5,0,73,,,http://www.democracy.caerphilly.gov.uk/mgMemberIndex.aspx?VW=TABLE&PIC=1&FN=,2017-05-31
W06000019,Blaenau Gwent,Wales,Labour,15,Labour,0,28,0,0,0,0,0,13,0,41,,,https://www.blaenau-gwent.gov.uk/council/councillors-committees/councillor-directory/?L=0,2017-05-31
W06000020,Torfaen,Wales,Labour,15,Labour,4,29,0,0,0,0,0,10,1,44,,,http://moderngov.torfaen.gov.uk/mgFindMember.aspx?XXR=0&AC=USERSEARCH,2017-05-28
W06000021,Monmouthshire,Wales,Conservative,4,Conservative,25,10,3,0,0,0,0,5,0,43,,,https://democracy.monmouthshire.gov.uk/mgMemberIndex.aspx?bcr=1,2017-05-28
W06000022,Newport,Wales,Labour,15,Labour,12,31,2,0,0,0,0,5,0,50,,,https://democracy.newport.gov.uk/mgFindMember.aspx?XXR=0&AC=USERSEARCH,2017-05-28
W06000023,Powys,Wales,No Overall Control,noc,Independent/Conservative,19,7,13,0,0,2,0,31,1,73,,"Powys Independent Alliance 20, Independent Group 10, Non-political Group 9, Non-aligned 5, Independent Conservative 1",http://powys.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-31
W06000024,Merthyr Tydfil,Wales,No Overall Control,noc,Unknown,0,14,0,0,0,0,0,16,3,33,,,http://democracy.merthyr.gov.uk/mgMemberIndex.aspx?VW=TABLE&PIC=1&FN=PARTY,2017-05-31
N09000001,Antrim and Newtownabbey,Northern Ireland,No Overall Control,noc,Unknown,0,0,0,0,0,0,0,0,0,40,,,http://www.antrimandnewtownabbey.gov.uk/Council/Your-Councillors?utm_source=PP&utm_medium=web&utm_campaign=Councillors&utm_content=9,2017-05-24
N09000002,"Armagh City, Banbridge and Craigavon",Northern Ireland,No Overall Control,noc,Unknown,0,0,0,0,0,0,0,3,0,41,,"UKIP 1, Independent 1",https://www.armaghbanbridgecraigavon.gov.uk/council/find-a-councillor/,2017-05-24
N09000003,Belfast,Northern Ireland,No Overall Control,noc,Unknown,0,0,0,1,0,0,0,3,0,60,,"People Before Profit Alliance 1, Independent 1",https://minutes3.belfastcity.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-24
N09000004,Causeway Coast and Glens,Northern Ireland,No Overall Control,noc,Unknown,0,0,0,0,0,0,0,2,0,40,,"Conservative 1, Independent 1",https://www.causewaycoastandglens.gov.uk/council/councillors,2017-05-24
N09000005,Derry and Strabane,Northern Ireland,No Overall Control,noc,Unknown,0,0,0,0,0,0,0,7,0,40,,Independent 7,http://meetings.derrycityandstrabanedistrict.com/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2017-05-24
N09000006,Fermanagh and Omagh,Northern Ireland,No Overall Control,noc,Unknown,0,0,0,0,0,0,0,4,0,40,,,http://www.fermanaghomagh.com/your-council/councillors/,2017-05-24
N09000007,Lisburn and Castlereagh,Northern Ireland,No Overall Control,noc,Unknown,0,0,0,0,0,0,0,2,0,40,,,https://www.lisburncastlereagh.gov.uk/council/elected-members,2017-05-24
N09000008,Mid and East Antrim,Northern Ireland,No Overall Control,noc,Unknown,0,0,0,0,0,0,0,5,1,40,,"UKIP 2, Independent 3",https://www.midandeastantrim.gov.uk/council/councillors,2017-05-24
N09000009,Mid-Ulster,Northern Ireland,No Overall Control,noc,Unknown,0,0,0,0,0,0,0,2,0,40,,,http://www.midulstercouncil.org/Council/Councillors,2017-05-24
N09000010,"Newry, Mourne and Down",Northern Ireland,No Overall Control,noc,Unknown,0,0,0,0,0,0,0,5,0,41,,,http://www.newrymournedown.org/elected_members#prettyPhoto,2017-05-24
N09000011,North Down and Ards,Northern Ireland,No Overall Control,noc,Unknown,0,0,0,2,0,0,0,2,0,40,,,http://www.ardsandnorthdown.gov.uk/about-the-council/find-my-councillor/view-all,2017-05-24
